ticker,marketCap,trailingPE,forwardPE,returnOnEquity,debtToEquity,priceToBook,pegRatio,beta,totalRevenue,netIncome,freeCashflow,label
AAPL,3741724442624,32.265526,27.385818,1.5202099,102.63,42.443314,,1.116,435617005568,,106312753152,0
GOOGL,3731682754560,28.510168,23.001362,0.35705003,16.133,8.979711,,1.112,402835996672,,38088376320,0
MSFT,2959238496256,24.884687,21.128996,0.34390998,31.539,7.5673285,,1.108,305453006848,,53640626176,0
TSLA,1488828366848,370.8071,141.17542,0.049250003,17.763,18.119543,,1.926,94827003904,,3732624896,0
AMZN,2289543938048,29.704737,22.830595,0.22286,43.435,5.567796,,1.42,716923994112,,23793125376,0
NVDA,4424117780480,37.223927,16.842377,1.01485,7.255,28.124998,,2.375,215938007040,,58128998400,0
META,1581769031680,26.643162,17.427954,0.30238,39.164,7.282367,,1.279,200965996544,,23432374272,0
NFLX,404209238016,37.663994,24.828268,0.42762002,63.782,15.115784,,1.714,45183037440,,24817524736,0
BABA,325261131776,17.949934,15.628232,0.11191,27.249,2.1104946,,0.435,1012055015424,,-49489498112,0
ORCL,444090286080,27.721724,19.369722,0.57572,415.265,13.235899,,1.648,64076001280,,-22298499072,0
